user_id,event_dt,event_name,details,first_date,group,ab_test,date
B13A53A1EB2038EE,2020-12-07 00:02:48,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
4C4BA430AAA820F8,2020-12-07 00:03:18,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
4C4BA430AAA820F8,2020-12-07 00:03:19,product_page,999.0,2020-12-07,A,interface_eu_test,2020-12-07
4B7C59A60FE1DA69,2020-12-07 00:03:51,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
4B7C59A60FE1DA69,2020-12-07 00:03:54,product_cart,999.0,2020-12-07,A,interface_eu_test,2020-12-07
894A2506B3A50D03,2020-12-07 00:05:57,product_page,999.0,2020-12-07,A,interface_eu_test,2020-12-07
894A2506B3A50D03,2020-12-07 00:05:57,product_page,999.0,2020-12-07,B,recommender_system_test,2020-12-07
894A2506B3A50D03,2020-12-07 00:05:57,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
894A2506B3A50D03,2020-12-07 00:05:57,login,999.0,2020-12-07,B,recommender_system_test,2020-12-07
FBC41B97316A7769,2020-12-07 00:06:39,purchase,4.99,2020-12-07,A,interface_eu_test,2020-12-07
FBC41B97316A7769,2020-12-07 00:06:39,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
DD3B49B4AF10F101,2020-12-07 00:07:47,purchase,9.99,2020-12-07,A,interface_eu_test,2020-12-07
8FC9D1BB3017BE66,2020-12-07 00:07:47,purchase,4.99,2020-12-07,A,interface_eu_test,2020-12-07
8FC9D1BB3017BE66,2020-12-07 00:07:47,purchase,4.99,2020-12-07,B,recommender_system_test,2020-12-07
8FC9D1BB3017BE66,2020-12-07 00:07:47,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
8FC9D1BB3017BE66,2020-12-07 00:07:47,login,999.0,2020-12-07,B,recommender_system_test,2020-12-07
DD3B49B4AF10F101,2020-12-07 00:07:47,product_page,999.0,2020-12-07,A,interface_eu_test,2020-12-07
DD3B49B4AF10F101,2020-12-07 00:07:47,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
8FC9D1BB3017BE66,2020-12-07 00:07:48,product_page,999.0,2020-12-07,B,recommender_system_test,2020-12-07
8FC9D1BB3017BE66,2020-12-07 00:07:48,product_page,999.0,2020-12-07,A,interface_eu_test,2020-12-07
8FC9D1BB3017BE66,2020-12-07 00:07:49,product_cart,999.0,2020-12-07,A,interface_eu_test,2020-12-07
8FC9D1BB3017BE66,2020-12-07 00:07:49,product_cart,999.0,2020-12-07,B,recommender_system_test,2020-12-07
C794BC89AD7DB99D,2020-12-07 00:10:35,product_cart,999.0,2020-12-07,A,interface_eu_test,2020-12-07
C794BC89AD7DB99D,2020-12-07 00:10:35,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
90145BD943821618,2020-12-07 00:12:03,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
6BCE3B728307E597,2020-12-07 00:13:04,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
6BCE3B728307E597,2020-12-07 00:13:04,purchase,9.99,2020-12-07,A,interface_eu_test,2020-12-07
6BCE3B728307E597,2020-12-07 00:13:08,product_page,999.0,2020-12-07,A,interface_eu_test,2020-12-07
4F1E6798CA2500FD,2020-12-07 00:13:20,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
4F1E6798CA2500FD,2020-12-07 00:13:22,product_cart,999.0,2020-12-07,A,interface_eu_test,2020-12-07
4A55475E078F40DC,2020-12-07 00:14:01,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
4A55475E078F40DC,2020-12-07 00:14:01,purchase,9.99,2020-12-07,A,interface_eu_test,2020-12-07
4A55475E078F40DC,2020-12-07 00:14:01,purchase,9.99,2020-12-07,B,recommender_system_test,2020-12-07
4A55475E078F40DC,2020-12-07 00:14:01,login,999.0,2020-12-07,B,recommender_system_test,2020-12-07
F1995B461E27CB8D,2020-12-07 00:15:50,purchase,4.99,2020-12-07,A,interface_eu_test,2020-12-07
F1995B461E27CB8D,2020-12-07 00:15:50,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
20996AEF74602821,2020-12-07 00:16:00,product_page,999.0,2020-12-07,B,recommender_system_test,2020-12-07
20996AEF74602821,2020-12-07 00:16:00,purchase,9.99,2020-12-07,B,recommender_system_test,2020-12-07
20996AEF74602821,2020-12-07 00:16:00,login,999.0,2020-12-07,B,recommender_system_test,2020-12-07
373C038EF663BDF5,2020-12-07 00:16:27,purchase,4.99,2020-12-07,A,interface_eu_test,2020-12-07
373C038EF663BDF5,2020-12-07 00:16:27,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
29926E6506E02C88,2020-12-07 00:20:39,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
29926E6506E02C88,2020-12-07 00:20:39,product_cart,999.0,2020-12-07,A,interface_eu_test,2020-12-07
29926E6506E02C88,2020-12-07 00:20:41,product_page,999.0,2020-12-07,A,interface_eu_test,2020-12-07
CC77381AE51F67C4,2020-12-07 00:22:40,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
CC77381AE51F67C4,2020-12-07 00:22:43,product_page,999.0,2020-12-07,A,interface_eu_test,2020-12-07
115EBC1CA027854A,2020-12-07 00:25:02,product_page,999.0,2020-12-07,B,recommender_system_test,2020-12-07
115EBC1CA027854A,2020-12-07 00:25:02,login,999.0,2020-12-07,B,recommender_system_test,2020-12-07
115EBC1CA027854A,2020-12-07 00:25:04,product_cart,999.0,2020-12-07,B,recommender_system_test,2020-12-07
AAB4D11666ADB943,2020-12-07 00:25:07,product_cart,999.0,2020-12-07,B,recommender_system_test,2020-12-07
AAB4D11666ADB943,2020-12-07 00:25:07,login,999.0,2020-12-07,B,recommender_system_test,2020-12-07
0EC6D01646D1515B,2020-12-07 00:25:40,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
D2A4A531DD5EF3B8,2020-12-07 00:29:14,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
D2A4A531DD5EF3B8,2020-12-07 00:29:14,purchase,4.99,2020-12-07,A,interface_eu_test,2020-12-07
D2A4A531DD5EF3B8,2020-12-07 00:29:14,product_cart,999.0,2020-12-07,A,interface_eu_test,2020-12-07
D2A4A531DD5EF3B8,2020-12-07 00:29:14,product_page,999.0,2020-12-07,A,interface_eu_test,2020-12-07
3F08302E40F33E16,2020-12-07 00:29:25,product_page,999.0,2020-12-07,A,interface_eu_test,2020-12-07
3F08302E40F33E16,2020-12-07 00:29:25,product_cart,999.0,2020-12-07,A,interface_eu_test,2020-12-07
3F08302E40F33E16,2020-12-07 00:29:25,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
38DFBAD128112D49,2020-12-07 00:29:33,login,999.0,2020-12-07,A,interface_eu_test,2020-12-07
38DFBAD128112D49,2020-12-07 00:29:33,purchase,9.99,2020-12-07,A,interface_eu_test,2020-12-07
38DFBAD128112D49,2020-12-07 00:29:33,product_page,999.0,2020-12-07,A,interface_eu_test,2020-12-07
